Institute Name,Institute Type,Location,Total Rating,Phone Number,Website Link
Inverclyde Royal Hospital Education Centre,"Hospital
Greenock, United Kingdom
	
""Staff very friendly transportation taxi and Coach.""
DIRECTIONS","Greenock, United Kingdom",,N/A,N/A
Insch & District War Memorial Hospital,"Hospital
Insch, United Kingdom
Open ⋅ Closes 6 pm","Insch, United Kingdom",N/A,+44 1464 820213,http://www.inschmedicalpractice.co.uk/info.aspx?p=14
Moffat Hospital,"General hospital
United Kingdom
+44 1683 220031
DIRECTIONS",United Kingdom,N/A,N/A,N/A
Royal Alexandra infirmary,"Hospital
Paisley, United Kingdom
DIRECTIONS","Paisley, United Kingdom",,N/A,N/A
NHS Borders,"General hospital
Melrose, United Kingdom
+44 1896 828282
	
""Very good place..""
DIRECTIONS","Melrose, United Kingdom",,N/A,N/A
Royal Aberdeen Children's Hospital,"Children's hospital
Aberdeen, United Kingdom
Open 24 hours","Aberdeen, United Kingdom",,+44 345 456 6000,https://www.rach.scot.nhs.uk/
NHS Greater Glasgow and Clyde Board HQ,"Community health centre
Glasgow, United Kingdom
Closes soon ⋅ 5 pm","Glasgow, United Kingdom",,+44 141 201 4444,https://www.nhsggc.scot/
Falkirk Community Hospital Outpatients,"Hospital
United Kingdom
	
""Quiet hospital""
DIRECTIONS",United Kingdom,,N/A,N/A
Hospital Education Service,"Hospital
Glasgow, United Kingdom
+44 141 201 0596
	
""Really useful service.""
WEBSITE
	
DIRECTIONS","Glasgow, United Kingdom",,N/A,http://www.hes.glasgow.sch.uk/
Skye House,"Hospital
Glasgow, United Kingdom
Open now","Glasgow, United Kingdom",,+44 141 232 6420,http://www.nhsggc.org.uk/your-health/health-services/specialist-childrens-services/our-services/eating-disorders-connect-ed/skye-house/
Huntly Burn House,"Mental health clinic
Melrose, United Kingdom
Open now","Melrose, United Kingdom",,+44 1896 827181,N/A
Scottish Hospitals Inquiry,"Government office
Edinburgh, United Kingdom
Closes soon ⋅ 5 pm","Edinburgh, United Kingdom",N/A,+44 808 196 5000,http://www.hospitalsinquiry.scot/
Rowanbank Clinic,"Hospital
Glasgow, United Kingdom
Open 24 hours","Glasgow, United Kingdom",N/A,+44 141 232 6400,http://www.nhsggc.org.uk/locations/hospitals/rowanbank-clinic/
Bupa Health Centre Glasgow,"Medical Center
Glasgow, United Kingdom
Closes soon ⋅ 5 pm","Glasgow, United Kingdom",,+44 141 800 4000,https://www.bupa.co.uk/health/health-assessments/our-centres/glasgow
Aberdeen Hospital,"Hospital
New Glasgow, NS, Canada
Open 24 hours","New Glasgow, NS, Canada",,+1 902-752-7600,http://www.nshealth.ca/locations-details/Aberdeen%20Hospital
Strathmartine Centre,"Private hospital
United Kingdom
Open 24 hours",United Kingdom,N/A,+44 1382 831940,http://www.nhstayside.scot.nhs.uk/patients/hospital/STRATHMART_HOSP.shtml
Lorn Medical Centre,"Medical Center
Oban, United Kingdom
Open ⋅ Closes 6 pm","Oban, United Kingdom",,+44 1631 563175,http://www.lornmedicalcentre.co.uk/
Surehaven Glasgow - Shaw Healthcare,"Hospital
Glasgow, United Kingdom
Open 24 hours","Glasgow, United Kingdom",,+44 141 944 3990,http://www.surehaven.co.uk/
Woodside Health & Care Centre,"Hospital
Glasgow, United Kingdom
Open ⋅ Closes 6 pm","Glasgow, United Kingdom",,+44 141 201 5500,https://www.nhsggc.scot/hospitals-services/health-centres-and-clinics/woodside-health-and-care-centre/
Greater Glasgow Health Board Within Gartnavel Royal Hospital,"Hospital
Glasgow, United Kingdom
+44 141 201 4444
DIRECTIONS","Glasgow, United Kingdom",,N/A,N/A
Drumchapel health Centre,"Hospital
Glasgow, United Kingdom
Open ⋅ Closes 6 pm","Glasgow, United Kingdom",,+44 141 211 6070,N/A
Priory Glasgow - addiction rehab and mental health treatment,"Addiction treatment center
Glasgow, United Kingdom
Open 24 hours","Glasgow, United Kingdom",,+44 141 636 6116,https://www.priorygroup.com/locations/priory-hospital-glasgow?utm_source=google_my_business&utm_medium=organic&utm_campaign=private&utm_content=priory-hospital-glasgow
Bupa Health Centre Edinburgh,"Medical Center
Edinburgh, United Kingdom
Open ⋅ Closes 6 pm","Edinburgh, United Kingdom",,+44 131 573 0580,http://www.bupa.co.uk/health/health-assessments/our-centres/edinburgh
Leanchoil Hospital,"Hospital
Forres, United Kingdom
Temporarily closed","Forres, United Kingdom",,+44 1309 678523,N/A
The Princess Alexandra Eye Pavilion,"Hospital
United Kingdom
Temporarily closed",United Kingdom,,+44 131 537 1340,https://www.nhslothian.scot/goingtohospital/the-princess-alexandra-eye-pavilion/
