Institute Name,Institute Type,Location,Total Rating,Phone Number,Website Link
Royal Victoria Eye and Ear Hospital Dublin,"Hospital
Dublin 2, Ireland
+353 1 664 4600
	
""Fast turnaround and nice and knowledgeable doctor and nurses""
WEBSITE
	
DIRECTIONS","Dublin 2, Ireland",,N/A,http://www.rveeh.ie/
Hospital Services Limited,"Medical equipment supplier
Dublin, Ireland
Closes soon ⋅ 5 pm","Dublin, Ireland",,+353 1 295 0500,http://hsl.ie/
Saint James's Hospital - Administration,"Hospital
Dublin, Ireland
+353 1 410 3000
WEBSITE
	
DIRECTIONS","Dublin, Ireland",,N/A,http://www.stjames.ie/AboutUs/Contactus/
Downshire Hospital,"Psychiatric hospital
Downpatrick, United Kingdom
Open now","Downpatrick, United Kingdom",,+44 28 4461 3311,N/A
"The Primary Care Centre, Drumlonagher","Medical Center
County Donegal, Ireland
Open ⋅ Closes 5:30 pm","County Donegal, Ireland",,+353 74 989 8001,https://www.hse.ie/
Newtown Medical Centre,"Medical Center
Athlone, County Westmeath, Ireland
Closes soon ⋅ 5 pm","Athlone, County Westmeath, Ireland",,+353 90 647 2075,http://www.newtownmedicalathlone.com/
"Vhi 360 Health Centre, Carrickmines","Medical Center
Dublin 18, Ireland
Open ⋅ Closes 9 pm","Dublin 18, Ireland",,+353 1 448 2450,https://www1.vhi.ie/360health
National Forensic Mental Health Service Hospital,"Hospital
Portrane Demesne, County Dublin, Ireland
	
""Public may enter.""
DIRECTIONS","Portrane Demesne, County Dublin, Ireland",,N/A,N/A
Carepoint Medical Centre,"Medical Center
Galway, Ireland
+353 91 760 107
	
""Nurse is fantastic.""
WEBSITE
	
DIRECTIONS","Galway, Ireland",,N/A,http://www.galwaybabyscans.com/
Bon Secours Health System Ireland,"Medical group
Dublin, Ireland
+353 1 477 7600
WEBSITE
	
DIRECTIONS","Dublin, Ireland",N/A,N/A,http://www.bonsecours.ie/
Western Health & Social Care Trust,"Government hospital
Londonderry, United Kingdom
Open 24 hours","Londonderry, United Kingdom",,+44 28 7134 5171,http://www.westerntrust.hscni.net/
Ennis Injury Unit,"Hospital
Ennis, County Clare, Ireland
Open ⋅ Closes 8 pm","Ennis, County Clare, Ireland",,+353 65 686 3121,https://www2.hse.ie/services/find-urgent-emergency-care/ennis-injury-unit/
Palace Medical Centre,"Medical Center
Tuam, County Galway, Ireland
Open ⋅ Closes 5:30 pm","Tuam, County Galway, Ireland",,+353 93 24154,http://www.palacemedical.ie/
Arlington House Medical Centre,"Medical Center
Oranmore, County Galway, Ireland
Open ⋅ Closes 6 pm","Oranmore, County Galway, Ireland",,+353 91 794 694,http://www.arlingtonhousemedicalcentre.ie/
Kingsbridge Private Hospital Letterkenny,"Private hospital
Letterkenny, County Donegal, Ireland
Closes soon ⋅ 4:30 pm","Letterkenny, County Donegal, Ireland",,+353 74 976 0000,N/A
Summerhill Day Hospital,"Psychiatric hospital
Dublin, Ireland
Open ⋅ Closes 8 pm","Dublin, Ireland",N/A,+353 1 921 1711,N/A
St. Vincent's Care Centre,"Hospital
Athlone, County Westmeath, Ireland
Open 24 hours","Athlone, County Westmeath, Ireland",,+353 90 648 3100,http://www.hse.ie/
Roscommon Injury Unit,"Urgent care center
Roscommon, Ireland
Open ⋅ Closes 8 pm","Roscommon, Ireland",,+353 90 663 2212,https://www2.hse.ie/services/find-urgent-emergency-care/roscommon-injury-unit/
Ennis Health Centre,"Medical Center
Ennis, County Clare, Ireland
Closes soon ⋅ 5 pm","Ennis, County Clare, Ireland",,+353 65 682 8525,https://www.hse.ie/eng/services/list/1/lho/clare/health-centres/
Lugh Medical Centre,"Medical Center
Dundalk, County Louth, Ireland
Open ⋅ Closes 5:30 pm","Dundalk, County Louth, Ireland",,+353 42 932 7466,N/A
"Vhi 360 Health Centre, Swords","Medical Center
Swords, County Dublin, Ireland
Open ⋅ Closes 9 pm","Swords, County Dublin, Ireland",,+353 1 448 2450,https://www1.vhi.ie/360health/urgent-care/swords
Fairview Community Unit,"Hospital
County Dublin, Ireland
Closed ⋅ Opens 5:30 pm","County Dublin, Ireland",,+353 1 884 2801,http://www.mater.ie/services/wards/s/synge-interim-care-unit/
Dublin South East Local Health Office,"Medical Center
County Dublin, Ireland
Closes soon ⋅ 4:30 pm","County Dublin, Ireland",,+353 1 268 0300,https://www.hse.ie/eng/services/list/1/lho/dublinse/
HAS Medical Billing (Hospital Accounting Services),"Medical billing service
Dublin 14, Ireland
Closes soon ⋅ 5 pm","Dublin 14, Ireland",,+353 1 492 8000,http://www.has.ie/
Thompson House Hospital,"Hospital
Lisburn, United Kingdom
Open now","Lisburn, United Kingdom",,+44 28 9266 5646,N/A
Hospital,N/A,N/A,N/A,N/A,N/A
Mary Mercer Health Centre,"Medical Center
Dublin 24, Ireland
Closes soon ⋅ 5 pm","Dublin 24, Ireland",,+353 1 458 5700,https://www.hse.ie/eng/services/list/1/lho/dublinsw/health-centres/
Adult Mental Health Unit - Sligo University Hospital,"Psychiatric hospital
Sligo, Ireland
Open 24 hours","Sligo, Ireland",N/A,+353 71 911 4300,https://www.hse.ie/eng/services/list/1/lho/sligo-leitrim/mental%20health%20services/
Boyne Centre,"Medical Center
Drogheda, County Louth, Ireland
Closes soon ⋅ 5 pm","Drogheda, County Louth, Ireland",,+353 41 980 9500,https://www2.hse.ie/services/primary-care-centres/boyne-centre/
Corporate Health Ireland,"Medical Center
Dublin 1, Ireland
Closes soon ⋅ 5 pm","Dublin 1, Ireland",,+353 1 670 1820,http://www.chi.ie/
Foundling Hospital,"Children's hospital
County Dublin, Ireland
Open now
DIRECTIONS","County Dublin, Ireland",N/A,N/A,N/A
The Meath Primary Care,"Medical Center
Dublin 8, Ireland
Closes soon ⋅ 5 pm","Dublin 8, Ireland",,+353 1 708 5700,https://www2.hse.ie/services/primary-care-centres/the-meath-primary-care/
"UPMC Outreach Centre, Carlow","Medical Center
Carlow, Ireland
Open ⋅ Closes 6 pm","Carlow, Ireland",,+353 59 914 0236,https://upmc.ie/locations/other-locations/outreach-carlow?utm_source=google&utm_campaign=business-profile&utm_content=outreachcentre-carlow-website
Hillsborough Private Clinic,"Medical clinic
Hillsborough, United Kingdom
Closes soon ⋅ 5 pm","Hillsborough, United Kingdom",,+44 28 9268 8899,http://www.hillsboroughprivateclinic.com/
Pearse Street Primary Care,"Medical Center
Dublin 2, Ireland
Closed ⋅ Opens 9:30 am Mon","Dublin 2, Ireland",,+353 1 642 7700,https://www2.hse.ie/apps/services/primarycarecenters.aspx
Mater Private Network Outreach Clinic Drogheda,"Private hospital
Drogheda, County Louth, Ireland
Closes soon ⋅ 5 pm","Drogheda, County Louth, Ireland",,+353 41 983 0464,N/A
Jervis Medical Centre,"Medical Center
Dublin 1, Ireland
Closes soon ⋅ 5 pm","Dublin 1, Ireland",,+353 1 873 5959,http://www.jervismedical.ie/
CIE Medical Centre,"Medical Center
Dublin 1, Ireland
+353 1 703 1343
DIRECTIONS","Dublin 1, Ireland",,N/A,N/A
Hse Clinic,"Hospital
Dublin, Ireland
+353 1 282 2122
WEBSITE
	
DIRECTIONS","Dublin, Ireland",,N/A,http://www.hse.ie/
