Institute Name,Institute Type,Location,Total Rating,Phone Number,Website Link
The Shrewsbury and Telford Hospital NHS Trust,"General hospital
United Kingdom
Open 24 hours",United Kingdom,,+44 1743 261000,http://www.sath.nhs.uk/
Bradford Royal Infirmary,"General hospital
Bradford, United Kingdom
Open 24 hours","Bradford, United Kingdom",,+44 1274 542200,https://www.bradfordhospitals.nhs.uk/our-hospitals/bradford-royal-infirmary-bri/
Nuffield Health Glasgow Hospital,"Private hospital
Glasgow, United Kingdom
Open ⋅ Closes 9:30 pm","Glasgow, United Kingdom",,+44 141 334 9441,https://www.nuffieldhealth.com/hospitals/glasgow?utm_source=google&utm_medium=local&utm_campaign=GoogleLocal-Glasgow-Hospital
Glasgow Royal Infirmary,"General hospital
Glasgow, United Kingdom
Open 24 hours","Glasgow, United Kingdom",,+44 141 211 4000,https://www.nhsggc.org.uk/patients-and-visitors/main-hospital-sites/glasgow-royal-campus/glasgow-royal-infirmary/
Royal Alexandra Hospital,"Hospital
Paisley, United Kingdom
Open 24 hours","Paisley, United Kingdom",,+44 141 314 7294,https://www.nhsggc.scot/hospitals-services/royal-alexandra/
Ninewells Hospital,"General hospital
Dundee, United Kingdom
Open 24 hours","Dundee, United Kingdom",,+44 1382 660111,http://www.nhstayside.scot.nhs.uk/patients/hospital/ninewells.shtml
Queen Elizabeth University Hospital,"University hospital
Glasgow, United Kingdom
Open 24 hours","Glasgow, United Kingdom",,+44 141 201 1100,https://www.nhsggc.scot/hospitals-services/main-hospitals/queen-elizabeth/
The Shard Outpatients,"Medical Center
London, United Kingdom
Open ⋅ Closes 8 pm","London, United Kingdom",,+44 20 3811 7848,N/A
St. Luke’s Hospital,"Hospital
Bradford, United Kingdom
Open 24 hours","Bradford, United Kingdom",,+44 1274 734744,https://www.bradfordhospitals.nhs.uk/our-hospitals/st-lukes-hospital/
Bradford Teaching Hospitals NHS Foundation Trust,"General hospital
Bradford, United Kingdom
Open 24 hours","Bradford, United Kingdom",,+44 1274 542200,https://www.bradfordhospitals.nhs.uk/
Vale of Leven District Hospital,"Hospital
Alexandria, United Kingdom
Open 24 hours","Alexandria, United Kingdom",,+44 1389 828599,https://www.nhsggc.scot/hospitals-services/main-hospitals/vale-of-leven/
Ripon Community Hospital,"Hospital
Ripon, United Kingdom
Open ⋅ Closes 6 pm","Ripon, United Kingdom",,+44 1423 542900,https://www.hdft.nhs.uk/services/minor-injuries-unit/
Stobhill Hospital,"General hospital
Glasgow, United Kingdom
Open ⋅ Closes 9 pm","Glasgow, United Kingdom",,+44 141 201 3000,https://www.nhsggc.scot/hospitals-services/main-hospitals/new-stobhill/
Spire South Bank Hospital,"Private hospital
Worcester, United Kingdom
Open ⋅ Closes 8 pm","Worcester, United Kingdom",,+44 1905 350003,https://www.spirehealthcare.com/spire-south-bank-hospital/?utm_source=google&utm_medium=organic&utm_campaign=Hospital_GMB
Nuffield Health Edinburgh Hospital,"Private hospital
Edinburgh, United Kingdom
Closes soon ⋅ 5 pm","Edinburgh, United Kingdom",,+44 131 447 2340,https://www.nuffieldhealth.com/hospitals/edinburgh?utm_source=gbp&utm_medium=yext
Sir Robert Peel Community Hospital,"Hospital
Tamworth, United Kingdom
Open ⋅ Closes 9 pm","Tamworth, United Kingdom",,+44 1283 566333,https://www.uhdb.nhs.uk/about-sir-robert-peel-community-hospital/
London North West University Healthcare NHS Trust,"Hospital
Harrow, United Kingdom
+44 20 8864 3232
	
""My mother had a sudden medical issue, and they took care of her immediately.""
WEBSITE
	
DIRECTIONS","Harrow, United Kingdom",,N/A,http://www.lnwh.nhs.uk/
Ashworth High Secure Hospital,"Psychiatric hospital
Liverpool, United Kingdom
Open 24 hours","Liverpool, United Kingdom",,+44 151 473 0303,https://www.merseycare.nhs.uk/ashworth-hospital
HCA Healthcare UK Canary Wharf Outpatients,"Home health care service
London, United Kingdom
Open ⋅ Closes 6 pm","London, United Kingdom",,+44 20 7234 2009,https://www.hcahealthcare.co.uk/locations/outpatients/london-bridge-hospital/canary-wharf-outpatients?utm_source=GoogleMyBusiness&utm_medium=referral&utm_campaign=Canary-Wharf-OP&y_source=1_MTA2NTU1MzY5MS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
Calderdale and Huddersfield NHS Foundation Trust,"Hospital
Huddersfield, United Kingdom
Open 24 hours","Huddersfield, United Kingdom",,+44 1484 342000,http://www.cht.nhs.uk/
Park Hill Hospital,"Private hospital
Doncaster, United Kingdom
Open 24 hours","Doncaster, United Kingdom",,+44 1302 430235,https://www.ramsayhealth.co.uk/hospitals/park-hill-hospital
New Victoria Hospital,"Hospital
Glasgow, United Kingdom
Open ⋅ Closes 9 pm","Glasgow, United Kingdom",,+44 141 201 6000,https://www.nhsggc.scot/hospitals-services/main-hospitals/new-victoria/
King Edward VII's Hospital's Medical Centre,"Private hospital
London, United Kingdom
Open ⋅ Closes 8 pm","London, United Kingdom",,+44 20 7467 4344,https://www.kingedwardvii.co.uk/?utm_source=google&utm_medium=local%20search&utm_campaign=GMBlisting
Royal Edinburgh Hospital,"Psychiatric hospital
United Kingdom
Open 24 hours",United Kingdom,,+44 131 537 6000,http://www.nhslothian.scot.nhs.uk/
Withington Community Hospital,"Hospital
Manchester, United Kingdom
Closes soon ⋅ 5 pm","Manchester, United Kingdom",,+44 161 434 5555,https://mft.nhs.uk/withington/
Westbourne Green Community Hospital,"Hospital
Bradford, United Kingdom
Open 24 hours","Bradford, United Kingdom",,+44 1274 276803,https://www.bradfordhospitals.nhs.uk/our-hospitals/westbourne-green-community-hospital/
Rowley Regis Hospital,"Hospital
Rowley Regis, United Kingdom
Open ⋅ Closes 9 pm","Rowley Regis, United Kingdom",,+44 121 507 6300,https://www.swbh.nhs.uk/contact-us/our-hospitals-and-gp-services/rowley-regis-hospital/
Cobalt Hospital,"Private hospital
Newcastle upon Tyne, United Kingdom
Open 24 hours","Newcastle upon Tyne, United Kingdom",,+44 191 607 0319,https://www.ramsayhealth.co.uk/hospitals/cobalt-hospital
"Chiswick Medical Centre, part of HCA Healthcare UK","Medical Center
London, United Kingdom
Open ⋅ Closes 8 pm","London, United Kingdom",,+44 20 3553 9450,https://www.hcahealthcare.co.uk/locations/outpatients/the-lister-hospital/chiswick-outpatients?utm_source=GoogleMyBusiness&utm_medium=referral&utm_campaign=ChiswickMedicalCentre&y_source=1_NTI1MzYyMzItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
HCA Healthcare UK,"Computer support and services
London, United Kingdom
Open ⋅ Closes 8 pm","London, United Kingdom",,+44 20 3553 5158,https://www.hcahealthcare.co.uk/
Friarage Hospital,"Hospital
United Kingdom
Open 24 hours",United Kingdom,,+44 1609 779911,https://www.southtees.nhs.uk/hospitals/friarage/
Perth Royal Infirmary,"Hospital
Perth, United Kingdom
Closes soon ⋅ 5 pm","Perth, United Kingdom",,+44 1738 623311,http://www.nhstayside.scot.nhs.uk/index.htm
Imperial College Healthcare NHS Trust,"General hospital
London, United Kingdom
Open 24 hours","London, United Kingdom",,+44 20 3311 3311,https://www.imperial.nhs.uk/
Burnley General Teaching Hospital,"General hospital
Burnley, United Kingdom
Open 24 hours","Burnley, United Kingdom",,+44 1282 425071,https://elht.nhs.uk/
Kingsbridge Private Hospital,"Hospital
Belfast, United Kingdom
Open ⋅ Closes 8 pm","Belfast, United Kingdom",,+44 28 9066 7878,https://kingsbridgeprivatehospital.com/belfast/
National Hospital for Neurology and Neurosurgery,"Specialized hospital
London, United Kingdom
Open ⋅ Closes 6:30 pm","London, United Kingdom",,+44 20 3456 7890,https://www.uclh.nhs.uk/our-services/our-hospitals/national-hospital-neurology-and-neurosurgery
Birmingham Children's Hospital,"Children's hospital
Birmingham, United Kingdom
Open 24 hours","Birmingham, United Kingdom",,+44 121 333 9999,https://bwc.nhs.uk/
Addenbrooke's Hospital,"General hospital
Cambridge, United Kingdom
Open 24 hours","Cambridge, United Kingdom",,+44 1223 805000,https://www.cuh.nhs.uk/
Clatterbridge Hospital,"General hospital
Wirral, United Kingdom
Open 24 hours","Wirral, United Kingdom",,+44 151 334 4000,https://www.wuth.nhs.uk/our-locations/clatterbridge-hospital/
The Royal Marsden Hospital,"Cancer treatment center
London, United Kingdom
Open ⋅ Closes 5:30 pm","London, United Kingdom",,+44 20 7352 8171,http://www.royalmarsden.nhs.uk/
Countess of Chester Hospital NHS Foundation Trust,"Hospital
Chester, United Kingdom
Open 24 hours","Chester, United Kingdom",,+44 1244 365000,http://www.coch.nhs.uk/find-us.aspx
Leigh Infirmary,"Hospital
Leigh, United Kingdom
Open ⋅ Closes 5 am Sat","Leigh, United Kingdom",,+44 1942 244000,https://www.wwl.nhs.uk/leigh-infirmary
"Clock View Hospital, Mersey Care NHS Trust","Hospital
Liverpool, United Kingdom
Open 24 hours","Liverpool, United Kingdom",,+44 151 330 7200,http://www.merseycare.nhs.uk/
Ayrshire Central Hospital,"Specialized hospital
Irvine, United Kingdom
Open ⋅ Closes 9 pm","Irvine, United Kingdom",,+44 1294 274191,N/A
Spire Shawfair Park Hospital Edinburgh,"Private hospital
Dalkeith, United Kingdom
Open ⋅ Closes 8 pm","Dalkeith, United Kingdom",,+44 131 654 5600,https://www.spirehealthcare.com/spire-edinburgh-hospitals-murrayfield-and-shawfair-park/?utm_source=google&utm_medium=organic&utm_campaign=Hospital_GMB
HCA UK at University College Hospital,"Cancer treatment center
London, United Kingdom
Closes soon ⋅ 5 pm","London, United Kingdom",,+44 20 3447 1700,N/A
NHS Tayside,"Hospital
Dundee, United Kingdom
Open 24 hours","Dundee, United Kingdom",,+44 1382 660111,http://www.nhstayside.scot.nhs.uk/
UK Hospital,"Hospital
Nihal Singh Wala, Punjab, India
Open 24 hours","Nihal Singh Wala, Punjab, India",,+91 99142 35024,N/A
West Glasgow Ambulatory Care Hospital,"Hospital
Glasgow, United Kingdom
Open now","Glasgow, United Kingdom",,+44 141 414 6713,https://www.nhsggc.scot/hospitals-services/main-hospitals/west-glasgow/
Falkirk Community Hospital,"Hospital
Falkirk, United Kingdom
Closes soon ⋅ 5 pm","Falkirk, United Kingdom",,+44 1324 624000,http://nhsforthvalley.com/hospitals/falkirk-community-hospital/
East Ayrshire Community Hospital,"General hospital
Cumnock, United Kingdom
Open ⋅ Closes 8 pm","Cumnock, United Kingdom",,+44 1290 429429,https://www.nhsaaa.net/services/hospitals/east-ayrshire-community-hospital/
Greenwich Hospital,"Heritage building
	
""The painted ceiling deserves special mention.""
WEBSITE
	
DIRECTIONS","	
""The painted ceiling deserves special mention.""",,N/A,http://www.grenhosp.org.uk/our-estates/greenwich-estate/
Midlothian Community Hospital,"Hospital
Dalkeith, United Kingdom
Open 24 hours","Dalkeith, United Kingdom",,+44 131 454 1001,https://www.nhslothian.scot/goingtohospital/midlothian-community-hospital/
Ross Hall Clinic Braehead,"Hospital
Renfrew, United Kingdom
Open ⋅ Closes 9 pm","Renfrew, United Kingdom",,+44 141 810 3151,https://www.circlehealthgroup.co.uk/hospitals/ross-hall-clinic-braehead?utm_source=google&utm_medium=googlelocal&utm_campaign=bmirosshallbraehead
Barts Health NHS Trust,"Private hospital
London, United Kingdom
Closes soon ⋅ 5 pm","London, United Kingdom",,+44 20 7767 3200,http://bartshealth.nhs.uk/
St Nicholas Hospital,"Psychiatric hospital
Newcastle upon Tyne, United Kingdom
Closes soon ⋅ 5 pm","Newcastle upon Tyne, United Kingdom",,+44 191 246 6800,https://www.cntw.nhs.uk/locations/st-nicholas/
Balfour Hospital,"Government hospital
Kirkwall, United Kingdom
Open 24 hours","Kirkwall, United Kingdom",,+44 1856 888000,http://www.ohb.scot.nhs.uk/contact-us
UCLH,"University hospital
London, United Kingdom
	
""They diagnosed me with a serious heart condition that required surgery.""
WEBSITE
	
DIRECTIONS","London, United Kingdom",,N/A,https://www.uclh.nhs.uk/
Alder Hey Children's Hospital,"Children's hospital
Liverpool, United Kingdom
Open 24 hours","Liverpool, United Kingdom",,+44 151 228 4811,http://www.alderhey.nhs.uk/
Palmer Community Hospital,"Hospital
Jarrow, United Kingdom
Closes soon ⋅ 5 pm","Jarrow, United Kingdom",,+44 191 402 8000,https://www.stsft.nhs.uk/locations/palmer-community-hospital
Barts Health,"Government hospital
London, United Kingdom
Open now","London, United Kingdom",,+44 20 7092 5000,http://bartshealth.nhs.uk/
Gartnavel General Hospital,"General hospital
Glasgow, United Kingdom
Open 24 hours","Glasgow, United Kingdom",,+44 141 211 3000,https://www.nhsggc.scot/hospitals-services/main-hospitals/gartnavel-general-hospital/
Nottinghamshire Healthcare NHS Foundation Trust,"General hospital
Nottingham, United Kingdom
Closes soon ⋅ 4:30 pm","Nottingham, United Kingdom",,+44 115 969 1300,https://www.nottinghamshirehealthcare.nhs.uk/
HCA Healthcare UK,"Corporate office
London, United Kingdom
Closes soon ⋅ 5 pm","London, United Kingdom",,+44 20 3797 7188,https://www.hcahealthcare.co.uk/?utm_source=GoogleMyBusiness&utm_medium=referral&utm_campaign=HCAHealthcareUK&y_source=1_NTIxNjcyNDEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
Dumfries & Galloway Royal Infirmary,"Hospital
Dumfries, United Kingdom
Open 24 hours","Dumfries, United Kingdom",,+44 1387 246246,https://www.nhsdg.co.uk/
Care UK Healthcare,"Private hospital
Ilford, United Kingdom
+44 333 200 4069
DIRECTIONS","Ilford, United Kingdom",,N/A,N/A
Beckenham Beacon,"Urgent care center
Beckenham, United Kingdom
Open ⋅ Closes 8 pm","Beckenham, United Kingdom",,+44 1689 863000,https://www.nhs.uk/services/clinic/beckenham-beacon-urgent-care-centre/AD913
University College London Hospitals NHS Foundation Trust,"Hospital
London, United Kingdom
Closes soon ⋅ 5 pm
DIRECTIONS","London, United Kingdom",,N/A,N/A
"Royal Victoria Hospital, Dundee","Hospital
Dundee, United Kingdom
Closed ⋅ Opens 8 am Mon","Dundee, United Kingdom",,+44 1382 423000,http://www.nhstayside.scot.nhs.uk/patients/hospital/ROY_VICTORIA_HOSP.shtml
NHS Ayrshire and Arran,"Hospital
Kilmarnock, United Kingdom
Open now","Kilmarnock, United Kingdom",,+44 1563 521133,https://www.nhsaaa.net/
Birmingham Women's Hospital,"Maternity hospital
Birmingham, United Kingdom
Open 24 hours","Birmingham, United Kingdom",,+44 121 472 1377,https://bwc.nhs.uk/
Royal Hospital for Children & Young People,"Children's hospital
Edinburgh, United Kingdom
Open 24 hours","Edinburgh, United Kingdom",,+44 131 536 1000,https://children.nhslothian.scot/the-rhcyp/
Bupa Health Centre Manchester Marble Street,"Medical Center
Manchester, United Kingdom
Open ⋅ Closes 6 pm","Manchester, United Kingdom",,+44 161 254 3300,https://www.bupa.co.uk/health/health-assessments/our-centres/manchester-marble-street
HCA Healthcare UK,"Medical clinic
London, United Kingdom
Open ⋅ Closes 8 pm","London, United Kingdom",,+44 20 3131 7073,N/A
Haltwhistle War Memorial Hospital,"Hospital
United Kingdom
Closes soon ⋅ 5 pm",United Kingdom,,+44 344 811 8111,https://www.northumbria.nhs.uk/our-locations/haltwhistle-war-memorial-hospital
Bothwell Medical Rooms (Hamilton),"Hospital
Hamilton, United Kingdom
Open ⋅ Closes 7 pm","Hamilton, United Kingdom",,+44 1698 854474,https://www.bothwellmedicalrooms.co.uk/
Royal London Hospital: Luckes Entrance,"Hospital
London, United Kingdom
Open now
DIRECTIONS","London, United Kingdom",,N/A,N/A
The State Hospital,"Psychiatric hospital
Lanark, United Kingdom
Closed ⋅ Opens 8 am Sat","Lanark, United Kingdom",,+44 1555 840293,http://www.tsh.scot.nhs.uk/
Memorial Hospitals Group UK,"Private hospital
Leeds, United Kingdom
Open ⋅ Closes 6 pm","Leeds, United Kingdom",N/A,+44 113 375 0075,https://www.memorialhospitalsgroup.com/
University Health Centre at Queens,"Medical Center
Belfast, United Kingdom
Open ⋅ Closes 5:30 pm","Belfast, United Kingdom",,+44 28 9066 4634,http://www.universityhealthcentreatqueens.co.uk/
Royal Brompton National Heart and Lung Hospital,"Heart hospital
London, United Kingdom
Open now","London, United Kingdom",,+44 20 7351 8830,N/A
Hollins Park,"Hospital
Warrington, United Kingdom
Open 24 hours","Warrington, United Kingdom",,+44 1925 664000,https://www.merseycare.nhs.uk/our-services/our-sites/warrington/hollins-park-hospital
Dykebar Hospital,"Psychiatric hospital
Paisley, United Kingdom
Open 24 hours","Paisley, United Kingdom",,+44 141 201 1099,http://www.nhsggc.org.uk/content/default.asp?page=s762&loc_id=2526
Chalmers Centre,"General hospital
Edinburgh, United Kingdom
Closed ⋅ Opens 8:30 am Mon","Edinburgh, United Kingdom",,+44 131 536 1070,https://www.nhslothian.scot/goingtohospital/chalmers/
Bupa Health Centre Solihull,"Medical Center
Solihull, United Kingdom
Open ⋅ Closes 5:30 pm","Solihull, United Kingdom",,+44 121 711 6400,https://www.bupa.co.uk/health/health-assessments/our-centres/solihull
Royal Manchester Children's Hospital,"Children's hospital
United Kingdom
Open 24 hours",United Kingdom,,+44 161 276 1234,https://mft.nhs.uk/rmch/
Brampton War Memorial Hospital,"Hospital
Brampton, United Kingdom
+44 1228 608345
WEBSITE
	
DIRECTIONS","Brampton, United Kingdom",,N/A,https://www.cumbriapartnership.nhs.uk/where-we-work/brampton-war-memorial-hospital
Possilpark Health & Care Centre,"Medical Center
Glasgow, United Kingdom
Open ⋅ Closes 6 pm","Glasgow, United Kingdom",,+44 141 800 0600,https://www.nhsggc.scot/hospitals-services/health-centres-and-clinics/possilpark-health-and-care-centre/
UHB Med,"Hospital department
Birmingham, United Kingdom
Closes soon ⋅ 4:30 pm","Birmingham, United Kingdom",N/A,+44 121 627 5774,http://www.uhb.nhs.uk/
Great North Children's Hospital,"Children's hospital
Newcastle upon Tyne, United Kingdom
Open 24 hours","Newcastle upon Tyne, United Kingdom",,+44 191 233 6161,https://www.newcastle-hospitals.nhs.uk/hospitals/great-north-childrens-hospital/
Barrhead Health & Care Centre,"Medical Center
Glasgow, United Kingdom
Closes soon ⋅ 5 pm","Glasgow, United Kingdom",,+44 141 800 7005,https://www.nhsggc.org.uk/locations/health-centresclinics/barrhead-health-and-care-centre/
St George's Park,"Psychiatric hospital
Morpeth, United Kingdom
Open 24 hours","Morpeth, United Kingdom",,+44 191 246 6800,https://www.cntw.nhs.uk/locations/st-georges-park/
"Lister Fertility Clinic, part of HCA Healthcare UK","Medical Center
London, United Kingdom
Closes soon ⋅ 5 pm","London, United Kingdom",,+44 20 3993 8381,https://www.hcahealthcare.co.uk/Locations/Hospitals/The-Lister-Hospital/Lister-Fertility-Clinic?utm_source=GoogleMyBusiness&utm_medium=referral&utm_campaign=lister-fertility-clinic&y_source=1_NTI1MzYyMjUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
Altrincham Health and Wellbeing Centre,"Medical Center
Altrincham, United Kingdom
Open ⋅ Closes 8 pm","Altrincham, United Kingdom",,+44 161 928 7208,https://www.property.nhs.uk/
UK-Med,"Charity
Manchester, United Kingdom
Closes soon ⋅ 5 pm","Manchester, United Kingdom",,+44 300 140 9984,https://uk-med.org/
Sheffield Children's Hospital,"Children's hospital
United Kingdom
Open 24 hours",United Kingdom,,+44 114 271 7000,http://www.sheffieldchildrens.nhs.uk/
NHS England,"Medical clinic
Horley, United Kingdom
Closes soon ⋅ 5 pm","Horley, United Kingdom",,+44 300 311 2233,https://www.england.nhs.uk/
Bellsdyke Hospital,"Hospital
Larbert, United Kingdom
Open ⋅ Closes 8 pm","Larbert, United Kingdom",,+44 1324 572607,https://nhsforthvalley.com/hospitals/bellsdyke-hospital/
United Medical Hospital System LTD,"Hospital equipment and supplies
London, United Kingdom
Closes soon ⋅ 5 pm","London, United Kingdom",N/A,+44 20 4511 8365,https://www.umhs.co.uk/
Acute Medical Unit,"Hospital
+44 20 3311 1554
DIRECTIONS",+44 20 3311 1554,,N/A,N/A
Royal Hospital for Children,"Children's hospital
Glasgow, United Kingdom
Open 24 hours","Glasgow, United Kingdom",,+44 141 201 0000,http://www.nhsggc.org.uk/locations/hospitals/royal-hospital-for-children-glasgow/
Princess Royal Maternity Hospital,"Maternity hospital
Glasgow, United Kingdom
Open 24 hours","Glasgow, United Kingdom",,+44 141 211 5400,https://www.nhsggc.org.uk/locations/hospitals/princess-royal-maternity/
middlesex hospital mortimer street,"Hospital
London, United Kingdom
DIRECTIONS","London, United Kingdom",N/A,N/A,N/A
The West London Clinic,"Private hospital
London, United Kingdom
Temporarily closed","London, United Kingdom",,+44 20 8945 5333,http://www.westlondonclinic.com/
City of London Medical Centre,"Medical Center
London, United Kingdom
Temporarily closed","London, United Kingdom",,+44 20 3131 0834,N/A
